index,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,totals
67,2020-11,Hawaii,1720.0,0.0,0.0,0.0,0.0,0,1722
68,2020-11,Idaho,5266.0,4.0,8946.0,9372.0,892.0,555,25663
69,2020-11,Illinois,27657.0,474345.0,29335.0,17557.0,0.0,1890,550784
70,2020-11,Indiana,1089.0,182353.0,29416.0,24425.0,2231.0,1383,242048
71,2020-11,Iowa,12125.0,5796.0,365.0,5751.0,84.0,4,24215
72,2020-11,Kansas,1205.0,10.0,10569.0,10435.0,981.0,590,24622
73,2020-11,Kentucky,1608.0,337673.0,16578.0,17091.0,806.0,820,377139
74,2020-11,Louisiana,2493.0,273.0,17819.0,18448.0,1507.0,966,43007
75,2020-11,Maine,528.0,19.0,4801.0,6062.0,436.0,305,12310
76,2020-11,Mariana Islands,0.0,0.0,10.0,3.0,0.0,0,13
77,2020-11,Maryland,8416.0,11.0,10864.0,11038.0,764.0,9,31332
78,2020-11,Massachusetts,12361.0,2.0,8817.0,4397.0,1216.0,392,27378
79,2020-11,Michigan,22609.0,8562.0,35190.0,35065.0,2866.0,1179,105882
80,2020-11,Minnesota,25000.0,23234.0,16316.0,17448.0,1506.0,790,84754
81,2020-11,Mississippi,2572.0,0.0,12893.0,15003.0,757.0,641,34182
82,2020-11,Missouri,3187.0,0.0,27413.0,27727.0,2932.0,1490,65193
83,2020-11,Montana,2075.0,0.0,5060.0,6609.0,418.0,405,15410
84,2020-11,Nebraska,6102.0,96.0,380.0,4117.0,45.0,8,10926
85,2020-11,Nevada,2997.0,0.0,9055.0,4507.0,548.0,565,18343
86,2020-11,New Hampshire,2001.0,0.0,9055.0,5356.0,248.0,0,16772
87,2020-11,New Jersey,0.0,0.0,13826.0,8053.0,869.0,0,22951
88,2020-11,New Mexico,1123.0,0.0,7277.0,5495.0,715.0,415,15706
89,2020-11,New York,3203.0,1765.0,10393.0,28951.0,3768.0,405,49623
90,2020-11,North Carolina,45847.0,92.0,2770.0,28807.0,1852.0,241,83270
91,2020-11,North Dakota,434.0,2.0,2738.0,4153.0,211.0,175,7883
92,2020-11,Ohio,17994.0,91.0,37382.0,32959.0,2122.0,1863,94205
93,2020-11,Oklahoma,2172.0,3.0,18163.0,16961.0,1890.0,1254,43560
94,2020-11,Oregon,6347.0,654.0,21990.0,15648.0,0.0,4,44818
95,2020-11,Pennsylvania,38174.0,0.0,75428.0,34686.0,29.0,0,149401
